Proba,Actual
0.24405533,0
0.20706156,1
0.027907908,0
0.06735541,0
0.0866029,0
0.07367931,0
0.08817697,0
0.019772485,0
0.31266618,1
0.0519758,0
0.18856376,0
0.116882786,0
0.044291258,0
0.016414389,0
0.13151048,0
0.07583062,0
0.03520318,0
0.0706265,0
0.2749369,0
0.122850716,0
0.23627391,0
0.24557285,0
0.038371377,0
0.017145932,0
0.13277565,0
0.09354855,0
0.035288982,0
0.094393976,0
0.0013067126,0
0.31616294,0
0.15097205,0
0.032873094,0
0.04397425,0
0.0144106,0
0.0698062,0
0.03868998,0
0.029590443,0
0.21600872,0
0.04230251,0
0.16375154,0
0.080021575,0
0.065947294,0
0.0026712567,0
0.06498648,0
0.09011627,0
0.02895458,0
0.13935381,0
0.25858665,0
0.017545074,0
0.04411771,0
0.016125888,0
0.036778256,0
0.26182708,1
0.2118926,0
0.05072373,0
0.11339536,0
0.0802203,0
0.03237097,0
0.086075835,0
0.21234475,0
0.1678743,0
0.18324581,1
0.024721876,0
0.10387202,0
0.037622884,0
0.037677445,0
0.017434612,0
0.043259665,0
0.31139863,1
0.22155787,0
0.10146829,0
0.027315289,0
0.023427472,0
0.038360335,0
0.012004167,0
0.025296062,0
0.10368811,0
0.073658966,0
0.03169158,0
0.14194341,0
0.040792786,0
0.15177023,0
0.038665093,0
0.33071423,0
0.08664054,0
0.12627518,0
0.007417977,0
0.033431306,0
0.012713626,0
0.106097646,0
0.17226079,0
0.08134195,0
0.13337038,0
0.110761374,0
0.01998423,0
0.037391245,0
0.02366814,0
0.15347941,0
0.13214627,0
0.16151378,0
0.050103724,0
0.10371123,0
0.30090338,0
0.2132797,0
0.15844543,0
0.18203723,0
0.13010943,1
0.023142383,0
0.013967037,0
0.050425842,0
0.11423954,1
0.05494988,0
0.02701971,0
0.08741248,0
0.5256243,1
0.37521565,0
0.10575739,1
0.1236233,0
0.033380255,0
0.14408642,0
0.012058839,1
0.18342343,0
0.32186186,0
0.05249192,0
0.051548526,0
0.056646228,0
0.100752674,0
0.1259424,0
0.009227246,0
0.16198885,0
0.054891817,0
0.2338745,0
0.14561534,0
0.036188938,0
0.07612113,0
0.07140299,0
0.34015638,0
0.1530426,0
0.0105139315,0
0.13436052,0
0.12577526,0
0.2007841,0
0.2261651,1
0.049581222,0
0.039695166,0
0.13925382,0
0.020144418,0
0.022521332,0
0.03688074,0
0.034660645,0
0.029103056,0
0.0054905266,0
0.15154019,0
0.51617134,0
0.11024773,0
0.23590809,0
0.035643123,0
0.1961417,1
0.12544179,0
0.025959313,0
0.07882444,0
0.044682235,1
0.043765716,0
0.05567664,0
0.0929698,0
0.014507979,0
0.25228912,0
0.04052213,0
0.04628133,0
0.1412409,0
0.028031126,0
0.004554525,0
0.07728274,0
0.95413196,1
0.07245275,0
0.083905235,0
0.02667439,0
0.026131496,0
0.025931701,0
0.06733178,0
0.098466456,0
0.07016734,0
0.08540667,0
0.041772313,0
0.25070202,0
0.40196034,1
0.008667991,0
0.06140434,0
0.02570653,0
0.035069786,0
0.20783019,1
0.14433329,0
0.03656009,0
0.090130806,0
0.20690063,0
0.338701,0
0.12953697,0
0.19181724,0
0.1448008,0
0.33007503,1
0.033305332,0
0.24289966,1
0.33020514,0
0.065087,0
0.11227727,0
0.15793253,0
0.029813156,0
0.08132831,1
0.0794491,0
0.098656416,0
0.2359691,0
0.0446567,0
0.112978026,1
0.04354272,0
0.18588066,1
0.021607488,0
0.023519546,0
0.021191657,0
0.060236588,0
0.116367295,0
0.22315347,0
0.14004847,0
0.13161418,0
0.021243393,0
0.13971053,0
0.026042908,0
0.0921334,0
0.046826378,0
0.06947644,0
0.102786034,0
0.15823981,0
0.03906416,0
0.06334431,0
0.039054886,0
0.30121392,0
0.028592035,0
0.0028707236,0
0.0823274,0
0.16210248,0
0.008147165,0
0.03804134,0
0.031694174,0
0.28510806,0
0.08838531,0
0.017767236,0
0.31527454,0
0.29296035,0
0.027318418,0
0.3170011,0
0.2642926,0
0.11232128,0
0.12822302,0
0.12855676,0
0.2246925,0
0.051669627,0
0.20776239,0
0.0877791,0
0.021649048,0
0.03977654,0
0.065147646,0
0.046185985,0
0.22864157,0
0.0967408,0
0.20733288,0
0.040529072,0
0.05139762,0
0.32477424,0
0.07530474,0
0.06268503,0
0.01900886,0
0.035625994,0
0.537776,0
0.26561219,0
0.20149058,0
0.026984632,0
0.4820034,1
0.03697732,0
0.19898525,0
0.2835471,1
0.062822595,0
0.3333262,0
0.026076928,0
0.14065056,0
0.26513767,1
0.07145009,0
0.037747577,0
0.02492766,0
0.032724172,0
0.11936787,1
0.07215821,0
0.12817413,0
0.2028713,0
0.2651623,1
0.009590253,0
0.2056732,0
0.026207328,0
0.040421784,0
0.10718593,0
0.027177036,0
0.094446234,1
0.010448083,0
0.0030318946,0
0.03582626,0
0.056243896,0
0.12603012,0
0.12252019,0
0.05652167,0
0.24922861,0
0.026696026,0
0.03658303,0
0.34055787,0
